Time,Source,Destination,Protocol,Length,Source Port,Destination Port,bad_packet
33.68970422,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
24.758622623,192.167.5.35,192.167.5.22,ICMP,42,,,1
26.783912714,192.167.5.35,192.167.5.22,ICMP,42,,,1
33.630513098,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
3.717616857,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.778824076,192.167.5.35,192.167.5.22,ICMP,42,,,1
14.042308703,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.093707597,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
13.927116841,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.859622351,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.87061832,192.167.5.22,192.167.5.35,ICMP,60,,,0
14.074889077,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.70820712,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
13.104738978,142.251.32.14,192.167.5.35,TLSv1.2,85,443.0,49734.0,0
3.703519995,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.973326681,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
36.134610504,192.167.5.35,192.167.5.22,ICMP,42,,,1
3.738552227,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.87488446,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.649890288,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57914.0,0
33.640356741,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
23.940042781,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
14.089050479,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
1.621099508,VMware_8a:31:5e,Broadcast,ARP,60,,,0
33.759967639,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.83317505,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
28.82385122,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57914.0,0
18.654235717,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
23.844236407,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
21.05731534,192.167.5.35,192.167.5.22,ICMP,42,,,1
3.663963468,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.649892968,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
21.394334994,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.867198081,192.167.5.22,192.167.5.35,ICMP,60,,,0
14.030557496,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
20.622969624,192.167.5.35,192.167.5.22,ICMP,42,,,1
13.829677942,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
3.628249355,192.232.16.204,192.167.5.35,TLSv1.2,596,443.0,57914.0,0
8.884615583,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
28.84254163,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.869806051,192.167.5.22,192.167.5.35,ICMP,60,,,0
21.040465241,VMware_8a:4e:1c,Broadcast,ARP,60,,,0
14.933359179,VMware_8a:31:5e,Broadcast,ARP,60,,,0
18.854118324,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.862074454,192.167.5.22,192.167.5.35,ICMP,60,,,0
3.680212569,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
13.807650833,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
33.818313451,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
28.818374129,192.167.5.35,192.167.5.22,ICMP,42,,,1
3.752625714,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
18.865578991,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.878805358,192.167.5.22,192.167.5.35,ICMP,60,,,0
18.8686616,192.167.5.22,192.167.5.35,ICMP,60,,,0
3.647648199,192.167.5.35,192.232.16.204,TCP,54,57914.0,443.0,0
33.683463088,192.232.16.204,192.167.5.35,TCP,1514,443.0,57914.0,0
28.851841344,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.68970511,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
20.762409909,142.251.32.14,192.167.5.35,TLSv1.2,128,443.0,49734.0,0
30.179424976,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.730790362,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
11.408342696,VMware_8a:7f:3f,VMware_8a:aa:27,ARP,42,,,0
33.783107613,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
18.716720634,192.232.16.204,192.167.5.35,TLSv1.2,1514,443.0,57912.0,0
30.94495561,192.167.5.35,192.167.5.22,ICMP,42,,,1
22.098453809,142.251.32.14,192.167.5.35,TCP,60,443.0,49734.0,0
18.882259935,192.167.5.22,192.167.5.35,ICMP,60,,,0
19.169243094,192.167.5.35,192.167.5.22,ICMP,42,,,1
18.869271438,192.167.5.22,192.167.5.35,ICMP,60,,,0
8.752079284,VMware_8a:4e:1c,Broadcast,ARP,60,,,0
13.855244375,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
14.042292542,192.167.5.35,192.232.16.204,TCP,54,57912.0,443.0,0
23.890875344,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
13.849699672,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
33.628262086,192.232.16.204,192.167.5.35,TLSv1.2,1448,443.0,57914.0,0
8.936077548,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
22.032565095,192.167.5.35,192.167.5.22,ICMP,42,,,1
28.913869967,192.232.16.204,192.167.5.35,TCP,1514,443.0,57912.0,0
